, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,215500,9,23944,194241.0,9.0,21582.0,409741.0,18.0,22763.0,161818.0,2.0,80909.0
1,Collingwood,175500,9,19500,183877.0,9.0,20431.0,359377.0,18.0,19965.0,225998.0,3.0,75333.0
2,Essendon,127000,9,14111,124554.0,9.0,13839.0,251554.0,18.0,13975.0,,,
3,Fitzroy,130000,9,14444,107060.0,9.0,11896.0,237060.0,18.0,13170.0,,,
4,Footscray,149000,9,16556,174979.0,9.0,19442.0,323979.0,18.0,17999.0,68556.0,1.0,68556.0
5,Geelong,108500,9,12056,135685.0,9.0,15076.0,244185.0,18.0,13566.0,126288.0,2.0,63144.0
6,Hawthorn,105000,9,11667,93327.0,9.0,10370.0,198327.0,18.0,11018.0,,,
7,Melbourne,151100,9,16789,151000.0,9.0,16778.0,302100.0,18.0,16783.0,,,
8,North Melbourne,98000,9,10889,109308.0,9.0,12145.0,207308.0,18.0,11517.0,,,
9,Richmond,170000,9,18889,182500.0,9.0,20278.0,352500.0,18.0,19583.0,,,
10,South Melbourne,110000,9,12222,102569.0,9.0,11397.0,212569.0,18.0,11809.0,,,
11,St Kilda,148000,9,16444,128500.0,9.0,14278.0,276500.0,18.0,15361.0,,,
12,Totals,Home & Away:1687600 (15626),Finals:291330 (72833) ,Overall:1978930 (17669),,,,,,,,,
