,0,1,2,3
0,Highest Home & Away Crowds,,,
1,77770,Carlton v Essendon,Waverley Park,1975.0
2,56846,Richmond v Collingwood,M.C.G.,1975.0
3,49756,Richmond v Carlton,M.C.G.,1975.0
4,49469,Richmond v Essendon,M.C.G.,1975.0
5,42803,Melbourne v Collingwood,M.C.G.,1975.0
6,39672,Richmond v North Melbourne,M.C.G.,1975.0
7,39496,Richmond v Hawthorn,Waverley Park,1975.0
8,39275,Richmond v St Kilda,M.C.G.,1975.0
9,38083,Carlton v Collingwood,Princes Park,1975.0
10,36638,Footscray v Collingwood,Waverley Park,1975.0
11,35328,Melbourne v St Kilda,M.C.G.,1975.0
12,33653,St Kilda v Richmond,Waverley Park,1975.0
13,33600,Richmond v Geelong,M.C.G.,1975.0
14,33006,Carlton v Richmond,Princes Park,1975.0
15,31986,Essendon v Collingwood,Windy Hill,1975.0
16,31253,Hawthorn v Carlton,Princes Park,1975.0
17,30328,Melbourne v Carlton,Waverley Park,1975.0
18,29501,Richmond v Footscray,M.C.G.,1975.0
19,29359,St Kilda v Collingwood,Moorabbin Oval,1975.0
20,29354,Collingwood v North Melbourne,Waverley Park,1975.0
