, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Football Park,471492,11,42863,,,
1,Gabba,136769,11,12434,,,
2,Kardinia Park,195798,9,21755,,,
3,M.C.G.,2029477,46,44119,356851.0,5.0,71370.0
4,Princes Park,418439,18,23247,,,
5,S.C.G.,107955,11,9814,,,
6,Subiaco,188488,7,26927,,,
7,Victoria Park,79710,3,26570,,,
8,W.A.C.A.,113461,4,28365,66141.0,2.0,33071.0
9,Waverley Park,711434,27,26349,91383.0,2.0,45692.0
10,Western Oval,270000,18,15000,,,
