,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,260067,8,32508
1,Round 2,281020,8,35128
2,Round 3,262120,8,32765
3,Round 4,318510,8,39814
4,Round 5,291552,8,36444
5,Round 6,340193,8,42524
6,Round 7,231779,8,28972
7,Round 8,296405,8,37051
8,Round 9,292396,8,36550
9,Round 10,258517,8,32315
10,Round 11,312282,8,39035
11,Round 12,274683,8,34335
12,Round 13,290672,8,36334
13,Round 14,252142,8,31518
14,Round 15,270189,8,33774
15,Round 16,282803,8,35350
16,Round 17,257425,8,32178
17,Round 18,249639,8,31205
18,Round 19,309042,8,38630
19,Round 20,255703,8,31963
20,Round 21,318188,8,39774
21,Round 22,298729,8,37341
22,Finals,532178,9,59131
