,Date,Round,Total,Games,Ave.
0,1921-03-22,Round 1,70500,4,17625
1,1921-03-29,Round 2,81994,4,20499
2,1921-04-05,Round 3,70000,4,17500
3,1921-04-12,Round 4,64392,4,16098
4,1921-04-19,Round 5,110000,4,27500
5,1921-04-26,Round 6,62000,4,15500
6,1921-05-03,Round 7,73241,4,18310
7,1921-05-10,Round 8,59889,4,14972
8,1921-05-17,Round 9,62000,4,15500
9,1921-05-24,Round 10,81783,4,20446
10,1921-05-31,Round 11,31500,4,7875
11,1921-06-07,Round 12,73000,4,18250
12,1921-06-14,Round 13,34000,4,8500
13,1921-06-21,Round 14,72488,4,18122
14,1921-06-28,Round 15,57832,4,14458
15,1921-07-05,Round 16,62000,4,15500
16,1921-07-12,Round 17,51000,4,12750
17,1921-07-19,Round 18,57789,4,14447
18,1921-07-26,Finals,165450,4,41363
0,1922-03-22,Round 1,76000,4,19000
1,1922-03-29,Round 2,80902,4,20226
2,1922-04-05,Round 3,67000,4,16750
3,1922-04-12,Round 4,73000,4,18250
4,1922-04-19,Round 5,111189,4,27797
5,1922-04-26,Round 6,72000,4,18000
6,1922-05-03,Round 7,82000,4,20500
7,1922-05-10,Round 8,79496,4,19874
8,1922-05-17,Round 9,75000,4,18750
9,1922-05-24,Round 10,81850,4,20463
10,1922-05-31,Round 11,83000,4,20750
11,1922-06-07,Round 12,83929,4,20982
12,1922-06-14,Round 13,75220,4,18805
13,1922-06-21,Round 14,68000,4,17000
14,1922-06-28,Round 15,42206,4,10552
15,1922-07-05,Round 16,70000,4,17500
16,1922-07-12,Round 17,60000,4,15000
17,1922-07-19,Round 18,44000,4,11000
18,1922-07-26,Finals,207278,4,51820
0,1923-03-22,Round 1,83939,4,20985
1,1923-03-29,Round 2,67000,4,16750
2,1923-04-05,Round 3,67000,4,16750
3,1923-04-12,Round 4,80232,4,20058
4,1923-04-19,Round 5,95000,4,23750
5,1923-04-26,Round 6,63500,4,15875
6,1923-05-03,Round 7,76479,4,19120
7,1923-05-10,Round 8,70558,4,17640
8,1923-05-17,Round 9,55000,4,13750
9,1923-05-24,Round 10,76000,4,19000
10,1923-05-31,Round 11,75353,4,18838
11,1923-06-07,Round 12,71000,4,17750
12,1923-06-14,Round 13,70000,4,17500
13,1923-06-21,Round 14,79364,4,19841
14,1923-06-28,Round 15,80146,4,20037
15,1923-07-05,Round 16,69000,4,17250
16,1923-07-12,Round 17,77000,4,19250
17,1923-07-19,Round 18,74855,4,18714
18,1923-07-26,Finals,213462,4,53366
0,1924-03-22,Round 1,90000,4,22500
1,1924-03-29,Round 2,100000,4,25000
2,1924-04-05,Round 3,89211,4,22303
3,1924-04-12,Round 4,79000,4,19750
4,1924-04-19,Round 5,85072,4,21268
5,1924-04-26,Round 6,92000,4,23000
6,1924-05-03,Round 7,100533,4,25133
7,1924-05-10,Round 8,68000,4,17000
8,1924-05-17,Round 9,81769,4,20442
9,1924-05-24,Round 10,92056,4,23014
